team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,215,Ajax,AJA,,,,,,,
2,313,AZ,AZ,,,,,,,
3,425,FC Groningen,GRO,,,,,,,
4,324,FC Twente,TWE,,,,,,,
5,325,FC Utrecht,UTR,,,,,,,
6,198,Feyenoord,FEY,,,,,,,
7,316,Fortuna Sittard,FOR,,,,,,,
8,734,Go Ahead Eagles,GAE,,,,,,,
9,2038,Heracles Almelo,HER,,,,,,,
10,320,N.E.C.,NEC,,,,,,,
11,423,NAC Breda,NAC,,,,,,,
12,424,PEC Zwolle,PEC,,,,,,,
13,204,PSV,PSV,,,,,,,
14,318,sc Heerenveen,HEE,,,,,,,
15,323,Sparta Rotterdam,SPA,,,,,,,
16,905,Telstar,TEL,,,,,,,
17,707,FC Volendam,VOL,,,,,,,
18,539,Excelsior,EXC,,,,,,,
